"receptor_id";"emitter_id";"receptor_name";"emitter_name"
"43";"3";"UAE Ministery of Climate Change and Environment";"OIE"
"44";"3";"Emirates247";"OIE"
"42";"3";"Financial Tribune";"OIE"
"1";"30";"HealthMap";"Kuwait news agency"
"1";"31";"HealthMap";"Xinhua"
"1";"32";"HealthMap";"Free Malaysia Today"
"1";"33";"HealthMap";"The Namibian"
"1";"34";"HealthMap";"Setopati"
"1";"35";"HealthMap";"Daily Trust"
"1";"36";"HealthMap";"Pulse.ng"
"1";"37";"HealthMap";"Today.ng"
"1";"38";"HealthMap";"Business Standard"
"1";"39";"HealthMap";"kalingaTV"
"1";"4";"HealthMap";"The Moveefy"
"1";"40";"HealthMap";"The Telegraph"
"1";"41";"HealthMap";"India Today"
"1";"42";"HealthMap";"Financial Tribune"
"56";"43";"The Poultry Site";"UAE Ministery of Climate Change and Environment"
"1";"44";"HealthMap";"Emirates247"
"1";"45";"HealthMap";"The Hindu"
"1";"46";"HealthMap";"Agriculture.com"
"1";"47";"HealthMap";"Yahoo News"
"2";"48";"Twitter";"American Veterinary Medical Association"
"1";"49";"HealthMap";"The Strait Times"
"6";"5";"Reuters";"Bulgaria Vet Auth"
"8";"5";"Novinite.com (Sofia News Agency)";"Bulgaria Vet Auth"
"7";"5";"KFGO News";"Bulgaria Vet Auth"
"1";"50";"HealthMap";"WSAU"
"1";"51";"HealthMap";"Physician's Weekly"
"32";"52";"Free Malaysia Today";"Malaysia Vet Auth"
"3";"52";"OIE";"Malaysia Vet Auth"
"1";"53";"HealthMap";"The Malaysian Insight"
"1";"54";"HealthMap";"The Star Online"
"1";"55";"HealthMap";"MENAFN"
"1";"56";"HealthMap";"The Poultry Site"
"27";"56";"ProMED";"The Poultry Site"
"1";"57";"HealthMap";"WGME"
"1";"58";"HealthMap";"VnExpress International"
"3";"59";"OIE";"Bhutan Vet Auth"
"1";"6";"HealthMap";"Reuters"
"51";"6";"Physician's Weekly";"Reuters"
"47";"6";"Yahoo News";"Reuters"
"14";"6";"Channel NewsAsia";"Reuters"
"50";"6";"WSAU";"Reuters"
"46";"6";"Agriculture.com";"Reuters"
"2";"6";"Twitter";"Reuters"
"49";"6";"The Strait Times";"Reuters"
"48";"6";"American Veterinary Medical Association";"Reuters"
"4";"60";"The Moveefy";"Bihar animal husbandry department"
"5";"61";"Bulgaria Vet Auth";"Bulgaria's National Reference Laboratory"
"9";"62";"Focus Taiwan";"Bureau of Animal and Plant Health Inspection and Quarantine (Taiwan)"
"3";"63";"OIE";"Cambodia Vet Auth"
"10";"64";"Antara News";"Chief of Agricultural Service, Bandarlampung"
"11";"65";"News Agency of Nigeria";"Chief vet of the state"
"11";"66";"News Agency of Nigeria";"Chief Veterinary Officer of the Plateau State"
"12";"67";"Taiwan News";"China Animal Disease Control Center"
"9";"67";"Focus Taiwan";"China Animal Disease Control Center"
"6";"68";"Reuters";"China Animal Health and Epidemiolology Center"
"14";"69";"Channel NewsAsia";"China Vet Auth"
"6";"69";"Reuters";"China Vet Auth"
"13";"69";"Shine News";"China Vet Auth"
"1";"7";"HealthMap";"KFGO News"
"3";"70";"OIE";"Denmark Vet Auth"
"15";"71";"India Vet Auth";"District Animal Husbandry Department"
"17";"71";"HindiNews";"District Animal Husbandry Department"
"16";"71";"Hindustantimes";"District Animal Husbandry Department"
"18";"72";"Times of India";"Divisionnal commissioner"
"19";"73";"FluTrackers";"Egypt Vet Auth"
"1";"74";"HealthMap";"Focus News"
"18";"75";"Times of India";"Gaya administrator"
"23";"76";"VietnamNews";"Hon Dat District animal husbandry division"
"24";"77";"The Indian Tribune";"India's government"
"25";"78";"Avian Flu Diary";"India Chief Conservator of Forests Bihar"
"3";"79";"OIE";"Iran Vet Auth"
"1";"8";"HealthMap";"Novinite.com (Sofia News Agency)"
"1";"80";"HealthMap";"Khmer Times"
"1";"81";"HealthMap";"KNUJ"
"25";"82";"Avian Flu Diary";"Korea's ministry of environment"
"29";"82";"Yonhap News";"Korea's ministry of environment"
"30";"83";"Kuwait news agency";"Kuwait's ministry of environment"
"3";"84";"OIE";"Kuwait Vet Auth"
"1";"85";"HealthMap";"Leader Telegram"
"31";"86";"Xinhua";"Long An Department of Agriculture and Rural Development"
"33";"87";"The Namibian";"Namibia Vet Auth"
"31";"87";"Xinhua";"Namibia Vet Auth"
"34";"88";"Setopati";"Nepal's Department of Livestock Services"
"39";"89";"kalingaTV";"NIHSAD"
"18";"89";"Times of India";"NIHSAD"
"41";"89";"India Today";"NIHSAD"
"38";"89";"Business Standard";"NIHSAD"
"24";"89";"The Indian Tribune";"NIHSAD"
"40";"89";"The Telegraph";"NIHSAD"
"1";"9";"HealthMap";"Focus Taiwan"
"18";"90";"Times of India";"Patna Zoo Director"
"1";"91";"HealthMap";"Pioneer Press"
"31";"92";"Xinhua";"Quang Nam agriculture center"
"4";"93";"The Moveefy";"Ranchi zoo vet"
"38";"94";"Business Standard";"Regional Diseases Diagnotic Laboratory"
"45";"94";"The Hindu";"Regional Diseases Diagnotic Laboratory"
"3";"95";"OIE";"Russia Vet Auth"
"52";"96";"Malaysia Vet Auth";"Sabah Veterinary Services Department"
"53";"96";"The Malaysian Insight";"Sabah Veterinary Services Department"
"49";"96";"The Strait Times";"Sabah Veterinary Services Department"
"54";"97";"The Star Online";"Sabbah Vet Auth"
"48";"98";"American Veterinary Medical Association";"Star Tribune"
"9";"99";"Focus Taiwan";"Taiwan Vet Auth"
