Id;source;latitude;longitude;region;country;admin1;localityName;localityQuality;observationDate;reportingDate;status;disease;serotypes;speciesDescription;sumAtRisk;sumCases;sumDeaths;sumDestroyed;sumSlaughtered;humansGenderDesc;humansAge;humansAffected;humansDeaths
238425;OIE;55.447509;45.693121;Europe;Russian Federation;Nizhegorodskaya Oblast;Ovechiy Ovrag;Exact;2018-07-15;2018-07-18;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;47;1;1;;;;0;;
238424;OIE;54.734933;48.342412;Europe;Russian Federation;Tatarstan Rep.;Vozhzhi;Exact;2018-07-15;2018-07-18;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;59;18;18;41;;;0;;
238423;OIE;55.412356;48.065658;Europe;Russian Federation;Tatarstan Rep.;Ulyankovo ;Exact;2018-07-11;2018-07-18;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;35;20;20;15;;;0;;
238422;OIE;47.741688;40.028751;Europe;Russian Federation;Rostovskaya Oblast;OOO Evrodon №5;Exact;2018-07-10;2018-07-18;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;221799;13731;8235;;;;0;;
238421;OIE;55.072514;47.617992;Europe;Russian Federation;Chuvashiya Rep.;Batyrevo ;Exact;2018-07-09;2018-07-18;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;60;16;16;44;;;0;;
238420;OIE;55.180669;47.488452;Europe;Russian Federation;Chuvashiya Rep.;Polevye Yaushi ;Exact;2018-07-09;2018-07-18;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;64;50;50;14;;;0;;
238419;OIE;55.164122;47.999979;Europe;Russian Federation;Chuvashiya Rep.;Yalchiki;Exact;2018-07-06;2018-07-18;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;30;25;25;5;;;0;;
238418;OIE;55.859407;47.461015;Europe;Russian Federation;Chuvashiya Rep.;Tsivilsk ;Exact;2018-07-06;2018-07-18;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;53;14;14;;;;0;;
238417;OIE;55.839145;47.408937;Europe;Russian Federation;Chuvashiya Rep.;Molodezhny ;Exact;2018-07-06;2018-07-18;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;30;9;9;21;;;0;;
238416;OIE;55.701058;46.148719;Europe;Russian Federation;Chuvashiya Rep.;Cherepanovo ;Exact;2018-07-06;2018-07-18;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;32;12;12;8;;;0;;
